Data as of,Start Week,End Week,Sex,Age Years,Total deaths,COVID-19 Deaths
1/4/2021,2/1/2020,1/2/2021,Male,80 Years,37412,4786
1/4/2021,2/1/2020,1/2/2021,Male,81 Years,37717,4716
1/4/2021,2/1/2020,1/2/2021,Male,82 Years,37881,4670
1/4/2021,2/1/2020,1/2/2021,Male,83 Years,37612,4736
1/4/2021,2/1/2020,1/2/2021,Male,84 Years,37728,4657
1/4/2021,2/1/2020,1/2/2021,Male,85 Years and over,350331,40721
1/4/2021,2/1/2020,1/2/2021,Female,<1 year,7415,10
1/4/2021,2/1/2020,1/2/2021,Female,01 Years,481,4
1/4/2021,2/1/2020,1/2/2021,Female,02 Years,323,1
1/4/2021,2/1/2020,1/2/2021,Female,03 Years,268,2
1/4/2021,2/1/2020,1/2/2021,Female,04 Years,205,1
1/4/2021,2/1/2020,1/2/2021,Female,05 Years,186,2
1/4/2021,2/1/2020,1/2/2021,Female,06 Years,171,2
1/4/2021,2/1/2020,1/2/2021,Female,07 Years,175,0
1/4/2021,2/1/2020,1/2/2021,Female,08 Years,167,1
1/4/2021,2/1/2020,1/2/2021,Female,09 Years,143,3
1/4/2021,2/1/2020,1/2/2021,Female,10 Years,154,0
1/4/2021,2/1/2020,1/2/2021,Female,11 Years,176,2
1/4/2021,2/1/2020,1/2/2021,Female,12 Years,232,3
1/4/2021,2/1/2020,1/2/2021,Female,13 Years,269,3
1/4/2021,2/1/2020,1/2/2021,Female,14 Years,308,4
1/4/2021,2/1/2020,1/2/2021,Female,15 Years,387,9
1/4/2021,2/1/2020,1/2/2021,Female,16 Years,463,6
1/4/2021,2/1/2020,1/2/2021,Female,17 Years,530,8
1/4/2021,2/1/2020,1/2/2021,Female,18 Years,745,19
1/4/2021,2/1/2020,1/2/2021,Female,19 Years,833,18
1/4/2021,2/1/2020,1/2/2021,Female,20 Years,871,20
1/4/2021,2/1/2020,1/2/2021,Female,21 Years,1033,22
1/4/2021,2/1/2020,1/2/2021,Female,22 Years,1028,38
1/4/2021,2/1/2020,1/2/2021,Female,23 Years,1192,30
1/4/2021,2/1/2020,1/2/2021,Female,24 Years,1189,25
1/4/2021,2/1/2020,1/2/2021,Female,25 Years,1391,54
1/4/2021,2/1/2020,1/2/2021,Female,26 Years,1437,43
1/4/2021,2/1/2020,1/2/2021,Female,27 Years,1611,55
1/4/2021,2/1/2020,1/2/2021,Female,28 Years,1742,57
1/4/2021,2/1/2020,1/2/2021,Female,29 Years,1954,70
1/4/2021,2/1/2020,1/2/2021,Female,30 Years,2051,105
1/4/2021,2/1/2020,1/2/2021,Female,31 Years,2032,92
1/4/2021,2/1/2020,1/2/2021,Female,32 Years,2239,90
1/4/2021,2/1/2020,1/2/2021,Female,33 Years,2370,95
1/4/2021,2/1/2020,1/2/2021,Female,34 Years,2345,104
1/4/2021,2/1/2020,1/2/2021,Female,35 Years,2514,106
1/4/2021,2/1/2020,1/2/2021,Female,36 Years,2606,116
1/4/2021,2/1/2020,1/2/2021,Female,37 Years,2913,113
1/4/2021,2/1/2020,1/2/2021,Female,38 Years,2910,158
1/4/2021,2/1/2020,1/2/2021,Female,39 Years,3114,157
1/4/2021,2/1/2020,1/2/2021,Female,40 Years,3272,185
1/4/2021,2/1/2020,1/2/2021,Female,41 Years,3482,224
1/4/2021,2/1/2020,1/2/2021,Female,42 Years,3371,208
1/4/2021,2/1/2020,1/2/2021,Female,43 Years,3631,270
1/4/2021,2/1/2020,1/2/2021,Female,44 Years,3819,267
1/4/2021,2/1/2020,1/2/2021,Female,45 Years,4164,282
1/4/2021,2/1/2020,1/2/2021,Female,46 Years,4369,304
1/4/2021,2/1/2020,1/2/2021,Female,47 Years,4874,356
1/4/2021,2/1/2020,1/2/2021,Female,48 Years,5383,397
1/4/2021,2/1/2020,1/2/2021,Female,49 Years,6084,483
1/4/2021,2/1/2020,1/2/2021,Female,50 Years,6612,540
1/4/2021,2/1/2020,1/2/2021,Female,51 Years,6931,518
1/4/2021,2/1/2020,1/2/2021,Female,52 Years,7358,578
1/4/2021,2/1/2020,1/2/2021,Female,53 Years,8064,640
1/4/2021,2/1/2020,1/2/2021,Female,54 Years,8958,712
1/4/2021,2/1/2020,1/2/2021,Female,55 Years,10141,787
1/4/2021,2/1/2020,1/2/2021,Female,56 Years,11142,909
1/4/2021,2/1/2020,1/2/2021,Female,57 Years,12410,1053
1/4/2021,2/1/2020,1/2/2021,Female,58 Years,13123,1119
